Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Aug 08, 2018",49.96,49.6,50.13,49.44,22.00M
"Aug 07, 2018",49.7,49.43,49.83,49.41,28.32M
"Aug 06, 2018",49.3,48.77,49.31,48.32,26.67M
"Aug 03, 2018",49.63,49.5,49.78,49.17,22.01M
"Aug 02, 2018",49.48,48.5,49.52,48.2,26.45M
"Aug 01, 2018",48.81,48.05,48.91,48.0,28.06M
"Jul 31, 2018",48.1,48.24,48.68,47.69,36.58M
"Jul 30, 2018",47.69,47.63,47.99,46.43,35.70M
"Jul 27, 2018",47.68,48.76,49.2,47.48,67.82M
"Jul 26, 2018",52.16,52.45,53.18,51.87,28.28M
"Jul 25, 2018",52.43,52.21,52.45,51.09,19.89M
"Jul 24, 2018",52.18,52.76,53.3,52.08,17.79M
"Jul 23, 2018",52.31,51.77,52.49,51.33,15.95M
"Jul 20, 2018",51.91,51.83,52.07,51.33,17.39M
"Jul 19, 2018",51.98,51.6,52.01,51.05,15.95M
"Jul 18, 2018",51.72,51.87,51.97,51.47,14.65M
"Jul 17, 2018",51.75,51.05,51.88,51.01,15.75M
"Jul 16, 2018",52.01,52.15,52.32,51.87,15.95M
"Jul 13, 2018",52.22,52.4,52.42,51.76,13.75M
"Jul 12, 2018",52.35,52.05,52.48,51.73,20.29M
"Jul 11, 2018",51.2,51.69,51.87,51.19,18.67M
"Jul 10, 2018",52.16,52.1,52.26,51.84,17.36M
"Jul 09, 2018",51.86,51.64,51.89,51.0,21.36M
"Jul 06, 2018",51.37,50.77,51.5,50.4,19.97M
"Jul 05, 2018",50.75,49.98,50.96,49.75,26.16M
"Jul 03, 2018",49.47,50.58,50.86,49.43,16.33M
"Jul 02, 2018",50.2,49.04,50.27,48.83,23.76M
"Jun 29, 2018",49.71,49.53,50.11,49.5,28.91M
"Jun 28, 2018",49.25,48.58,49.49,48.5,29.06M
"Jun 27, 2018",48.76,49.34,50.06,48.75,33.34M
"Jun 26, 2018",49.67,49.95,50.41,49.36,37.54M
"Jun 25, 2018",50.71,51.17,51.75,49.91,45.36M
"Jun 22, 2018",52.5,52.62,53.09,52.3,34.68M
"Jun 21, 2018",52.19,54.38,54.53,51.94,44.44M
"Jun 20, 2018",53.46,53.19,53.74,52.69,21.40M
"Jun 19, 2018",52.93,52.14,52.95,51.88,31.78M
"Jun 18, 2018",53.22,54.3,54.3,52.34,40.76M
"Jun 15, 2018",55.11,55.17,55.38,54.58,39.19M
"Jun 14, 2018",55.54,55.45,55.86,55.18,23.42M
"Jun 13, 2018",55.03,54.98,55.7,54.91,22.63M
"Jun 12, 2018",54.82,54.87,55.03,54.22,23.29M
"Jun 11, 2018",54.52,54.8,55.09,54.26,25.75M
"Jun 08, 2018",55.05,55.56,55.7,54.66,30.82M
"Jun 07, 2018",55.88,56.92,57.0,55.62,27.60M
"Jun 06, 2018",57.03,56.53,57.06,56.08,22.96M
"Jun 05, 2018",56.53,56.9,57.12,56.22,21.69M
"Jun 04, 2018",56.83,57.01,57.6,56.77,22.54M
"Jun 01, 2018",57.08,55.84,57.1,55.8,31.18M
"May 31, 2018",55.2,55.67,55.86,55.06,30.96M
"May 30, 2018",55.68,55.89,56.2,55.62,24.71M
"May 29, 2018",55.32,55.12,55.81,54.81,24.25M
"May 25, 2018",55.44,54.8,55.5,54.54,18.55M
"May 24, 2018",54.75,55.18,55.3,54.13,19.67M
"May 23, 2018",55.21,54.0,55.23,53.84,20.56M
"May 22, 2018",54.45,54.73,55.05,54.05,19.01M
"May 21, 2018",54.32,54.36,55.22,53.86,25.37M
"May 18, 2018",53.5,54.53,54.54,53.47,23.68M
"May 17, 2018",54.81,54.55,55.44,54.42,16.87M
"May 16, 2018",54.64,54.17,54.7,53.95,16.26M
"May 15, 2018",53.92,54.58,54.75,53.56,21.71M
"May 14, 2018",54.9,54.77,55.24,54.74,21.88M
"May 11, 2018",54.67,54.62,55.19,54.43,15.41M
"May 10, 2018",54.98,54.55,55.0,54.1,18.72M
"May 09, 2018",54.34,53.76,54.37,53.19,19.83M
"May 08, 2018",53.63,53.29,53.63,52.8,21.03M
"May 07, 2018",53.33,52.86,53.58,52.83,20.29M
"May 04, 2018",52.78,51.62,52.84,51.0,25.64M
"May 03, 2018",52.28,51.89,52.56,51.21,28.56M
"May 02, 2018",52.31,53.09,53.2,52.15,25.78M
"May 01, 2018",53.33,51.64,53.42,51.44,27.60M
"Apr 30, 2018",51.62,52.56,53.37,51.21,36.42M
"Apr 27, 2018",52.73,55.44,55.79,52.23,69.89M
"Apr 26, 2018",53.05,52.26,53.27,52.07,39.58M
"Apr 25, 2018",51.38,51.86,52.1,50.6,25.75M
"Apr 24, 2018",51.45,51.87,53.64,51.14,42.49M
"Apr 23, 2018",51.1,51.69,51.89,50.85,21.71M
"Apr 20, 2018",51.53,52.17,52.28,50.88,26.91M
"Apr 19, 2018",52.22,52.95,52.96,51.61,25.42M
"Apr 18, 2018",53.61,53.52,54.35,53.34,22.16M
"Apr 17, 2018",53.54,52.91,53.7,52.89,21.23M
"Apr 16, 2018",52.4,52.29,52.53,51.79,18.86M
"Apr 13, 2018",51.86,53.06,53.21,51.6,20.88M
"Apr 12, 2018",52.72,51.49,53.27,51.45,29.78M
"Apr 11, 2018",51.1,50.99,51.73,50.82,17.57M
"Apr 10, 2018",51.27,51.12,51.49,50.34,26.42M
"Apr 09, 2018",49.55,49.16,51.11,49.16,31.44M
"Apr 06, 2018",48.79,49.79,50.4,48.5,28.22M
"Apr 05, 2018",50.38,50.01,50.72,49.97,25.12M
"Apr 04, 2018",49.99,48.1,50.16,48.01,30.37M
"Apr 03, 2018",49.75,49.0,49.96,48.41,39.43M
"Apr 02, 2018",48.92,51.69,52.04,47.29,67.19M
"Mar 29, 2018",52.08,49.98,52.08,49.87,45.27M
"Mar 28, 2018",49.6,50.5,50.7,49.01,37.97M
"Mar 27, 2018",51.19,53.01,53.25,50.78,38.78M
"Mar 26, 2018",52.48,50.74,52.49,50.32,39.31M
"Mar 23, 2018",49.36,50.59,50.99,49.36,37.68M
"Mar 22, 2018",50.83,50.74,51.96,50.6,30.92M
"Mar 21, 2018",51.56,51.55,52.17,51.17,23.24M
"Mar 20, 2018",51.55,50.88,51.81,50.85,22.21M
"Mar 19, 2018",50.83,50.74,51.23,49.93,31.12M
"Mar 16, 2018",51.17,51.17,51.7,50.99,42.56M
